"Month and Year","Central Sector","Private Sector","State Sector","Total Installed Capacity"
"Jan-2019",84631.63,160958.29,103698.3,349288.22000000003
"Feb-2019",84636.63,161487.09999999998,104038.75000000001,350162.48
"Mar-2019",86596.63,164427.71,105075.87,356100.20999999996
"Apr-2019",86596.63,164427.71,105075.87,356100.20999999996
"May-2019",86596.63,165144.11000000002,105076.87,356817.61
"Jun-2019",86596.63,166621.41,105077.92,358295.96
"Jul-2019",90176.93000000001,167461.83000000002,102817.62,360456.38
"Aug-2019",90176.93000000001,168168.4,103149.7,361495.03
"Sep-2019",91496.93000000001,168857.97,103014.7,363369.60000000003
"Oct-2019",91496.93000000001,169648.52,103814.7,364960.15
"Nov-2019",91496.93000000001,170668.47,103815.15000000001,365980.55000000005
"Dec-2019",92796.93000000001,170668.47,103815.15000000001,367280.55000000005
"Jan-2020",92796.93000000001,172607.75,103285.14999999998,368689.82999999996
"Feb-2020",93096.93000000001,173039.31,103291.74999999999,369427.99
"Mar-2020",93476.93000000001,173307.80000000002,103321.74999999999,370106.48000000004
"Apr-2020",93476.93000000001,173548.86000000002,103321.74999999999,370347.54000000004
"May-2020",93476.93000000001,173664.14,103357.9,370498.97
"Jun-2020",93476.93000000001,173949.31,103627.9,371054.14
"Jul-2020",94026.93000000001,174298.02000000002,103651.9,371976.85
"Aug-2020",94026.93000000001,175049.54000000004,103616.9,372693.37
"Sep-2020",93926.93000000001,175485.53,103616.9,373029.36
"Oct-2020",93926.93000000001,175891.25999999998,103617.4,373435.58999999997
"Nov-2020",93926.93000000001,176654.72,103617.4,374199.05000000005
"Dec-2020",93926.93000000001,177498.43000000002,103897.39000000001,375322.75000000006
"Jan-2021",94736.93000000001,178895.36000000002,103628.39000000001,377260.68000000005
"Feb-2021",96186.93000000001,179315.1,103628.39000000001,379130.42000000004
"Mar-2021",97506.93000000001,180774.66000000003,103869.64000000001,382151.23000000004
"Apr-2021",97506.93000000001,181353.46,103869.64000000001,382730.03
"May-2021",97506.93000000001,181997.12,103869.64000000001,383373.69
"Jun-2021",96836.93000000001,183403.37999999998,103875.64000000001,384115.95
"Jul-2021",97636.93000000001,185375.59000000003,103875.64000000001,386888.16000000003
"Aug-2021",97636.93000000001,186576.19,103920.64000000001,388133.76
"Sep-2021",97636.93000000001,187499.22,103712.64000000001,388848.79000000004
"Oct-2021",98296.93000000001,188121.62,104372.64000000001,390791.19
"Nov-2021",98546.93000000001,189086.63999999998,104383.68,392017.25
"Dec-2021",98546.93000000001,190458.86000000002,104383.68,393389.47000000003
"Jan-2022",98326.93000000001,191434.46000000002,105313.68,395075.07