"Category","Domestic Gas Supplied 2018-2019","RLNG (imported) Gas Supplied 2018-2019","Total Gas Supplied 2018-2019","Domestic Gas Supplied 2019-2020","RLNG (imported) Gas Supplied 2019-2020","Total Gas Supplied 2019-2020"
"Apr",23.86,9.27,33.13,21.304876666666665,8.899733333333334,30.20461
"May",22.912903225806453,11.80225806451613,34.715161290322584,20.64079999999999,11.0229,31.66369999999999
"Jun",20.170333333333335,10.49,30.660333333333334,19.693199999999997,12.2564,31.949599999999997
"Jul",22.25,8.16,30.41,19.219400000000004,10.51,29.729400000000005
"Aug",20.86,6.630000000000001,27.490000000000002,18.9831,10.075700000000001,29.058799999999998
"Sep",21.109999999999996,10.579999999999998,31.689999999999994,18.78000000000001,12.280000000000001,31.06000000000001
"Oct",22.78,17.28,40.06,19.920899999999996,10.675799999999999,30.5967
"Nov",24.259999999999994,5.390000000000001,29.649999999999995,18.901099999999996,10.1969,29.097999999999995
"Dec",23.199999999999992,5.9399999999999995,29.139999999999993,18.622899999999994,8.4152,27.038099999999993
"Jan",22.650000000000002,6.619999999999999,29.270000000000003,17.8944,6.616899999999999,24.511300000000002
"Feb",21.4179,4.4024,25.820299999999996,17.8789,10.1113,27.9902
"Mar",21.418,6.32,27.738,18.56779999999999,12.594700000000001,31.16249999999999